,Industrials Stock Abbreviations
0,AAL
1,ALK
2,ALLE
3,AME
4,AOS
5,BA
6,CARR
7,CAT
8,CHRW
9,CMI
10,CPRT
11,CSX
12,CTAS
13,DAL
14,DE
15,DOV
16,EFX
17,EMR
18,ETN
19,EXPD
20,FAST
21,FBHS
22,FDX
23,FTV
24,GD
25,GE
26,GNRC
27,GWW
28,HII
29,HON
30,HWM
31,IEX
32,INFO
33,IR
34,ITW
35,J
36,JBHT
37,JCI
38,KSU
39,LDOS
40,LHX
41,LMT
42,LUV
43,MAS
44,MMM
45,NLSN
46,NOC
47,NSC
48,ODFL
49,OTIS
50,PCAR
51,PH
52,PNR
53,PWR
54,RHI
55,ROK
56,ROL
57,ROP
58,RSG
59,RTX
60,SNA
61,SWK
62,TDG
63,TT
64,TXT
65,UAL
66,UNP
67,UPS
68,URI
69,VRSK
70,WAB
71,WM
72,XYL
